artist,album,title,duration,playcount,rating,rating_interpretation
Finn Riggins,Vs. Wilderness,Antoinette Pt. 1,3:01,,0,not-rated
Finn Riggins,Vs. Wilderness,Antoinette Pt. 2,1:51,,0,not-rated
Lightning Dust,Infinite Light,Antonia Jane,3:05,1,0,not-rated
Leggy,Let Me Know Your Moon,Antwerp,1:54,3,undefined,never-rated
Tapes 'n Tapes,Walk It Off,Anvil,3:33,,0,not-rated
The Sea and Cake,Any Day,Any Day,4:53,2,undefined,never-rated
Woods,Sun And Shade,Any Other Day,1:57,2,0,not-rated
Feist,Pleasure,Any Party,5:22,11,5,thumbs-up
Michael Andrews,Me and You and Everyone We Know (Original Motion Picture Soundtrack),Any Way That You Want Me,6:27,,undefined,never-rated
Sunflower Bean,Twentytwo in Blue,Any Way You Like,3:43,,undefined,never-rated
The Pains of Being Pure at Heart,The Echo of Pleasure,Anymore,3:43,,undefined,never-rated
The Sufis,After Hours,Anymore,2:14,3,undefined,never-rated
Guards,Modern Hymns,Anyone,3:33,,undefined,never-rated
Radiohead,Pablo Honey,Anyone Can Play Guitar,3:38,,0,not-rated
The National,High Violet,Anyone's Ghost,2:55,,0,not-rated
The National,High Violet,Anyone’s Ghost,2:54,,0,not-rated
Homeshake,Helium,Anything at All,3:01,2,undefined,never-rated
Over The Rhine,Ohio [Disc 1],Anything At All,3:36,2,0,not-rated
Fiona Apple,The Idler Wheel Is Wiser Than The Driver Of The Screw And Whipping Cords Will Serve You More Than Ropes Will Ever Do,Anything We Want,4:40,,0,not-rated
Paws,Your Church on My Bonfire,Anything Worse,2:56,1,undefined,never-rated
Mavis Staples,We Get By,Anytime,2:48,,undefined,never-rated
Snail Mail,Lush,Anytime,4:38,5,undefined,never-rated
The Kinks,"Lola Versus Powerman And The Money-Go-Round, Part One + Percy (Deluxe Edition)",Anytime (Stereo) [2014 Remastered Version],3:32,,undefined,never-rated
Swearin',Fall into the Sun,Anyway,2:10,,undefined,never-rated
Sera Cahoone,Deer Creek Canyon,Anyway You Like,4:13,,0,not-rated
The Prettiots,Funs Cool,Anyways,2:29,2,undefined,never-rated
Chumped,Teenage Retirement,Anywhere But Here,2:54,1,undefined,never-rated
Tom Waits,Rain Dogs,Anywhere I Lay My Head,2:47,2,0,not-rated
Chastity Belt,Chastity Belt,Apart,3:33,,undefined,never-rated
Modern Baseball,You're Gonna Miss It All,Apartment,2:47,5,undefined,never-rated
The National,Boxer,Apartment Story,3:33,1,0,not-rated
The National,Boxer,Apartment Story,3:32,1,0,not-rated
The Kinks,"Lola Versus Powerman And The Money-Go-Round, Part One + Percy (Deluxe Edition)",Apeman (2014 Remastered Version),3:53,,undefined,never-rated
The Kinks,"Lola Versus Powerman And The Money-Go-Round, Part One + Percy (Deluxe Edition)",Apeman (Alternate Mono Version) [2014 Remastered Version],3:40,,undefined,never-rated
The Kinks,"Lola Versus Powerman And The Money-Go-Round, Part One + Percy (Deluxe Edition)",Apeman (Alternate Stereo Version) [2014 Remastered Version],3:42,,undefined,never-rated
The Kinks,"Lola Versus Powerman And The Money-Go-Round, Part One + Percy (Deluxe Edition)",Apeman (Mono Single) [2014 Remastered Version],3:52,,undefined,never-rated
Greys,Age Hasn't Spoiled You,Aphantasia,7:40,6,undefined,never-rated
Pinegrove,Cardinal,Aphasia,4:30,18,undefined,never-rated
Xiu Xiu,Remixed & Covered,Apistat Commander,6:15,,undefined,never-rated
Xiu Xiu,Remixed & Covered,Apistat Commander,3:26,,undefined,never-rated
Cherry Glazerr,Apocalipstick,Apocalipstick,2:05,,undefined,never-rated
Laura K,Apologise,Apologise,3:13,2,undefined,never-rated
Swans,The Seer,Apostate,22:55,,0,not-rated
Angry Angles,Angry Angles,Apparent - Transparent,2:02,1,undefined,never-rated
Tiny Moving Parts,Swell,Applause,3:07,3,undefined,never-rated
Efterklang,Piramida,Apples,4:15,1,0,not-rated
The Apples In Stereo,Electronic Projects for Musicians,The Apples Theme Song,1:18,,0,not-rated
Animal Collective,Centipede Hz,Applesauce,5:35,1,0,not-rated
Julien Baker,Turn Out the Lights,Appointments,4:33,2,undefined,never-rated
Gorillaz,Humanz (Deluxe),"The Apprentice (feat. Rag'n'Bone Man, Zebra Katz & RAY BLK)",3:54,1,undefined,never-rated
The Flaming Lips,Yoshimi Battles The Pink Robots,Approaching Pavonis Mons By Balloon (Utopia Planitia),3:10,4,0,not-rated
Priests,Nothing Feels Natural,Appropriate,5:13,2,undefined,never-rated
Diet Cig,Swear I'm Good At This,Apricots,1:04,1,undefined,never-rated
Beach Bunny,Honeymoon,April,3:18,12,undefined,never-rated
Pianos Become The Teeth,Keep You,April,4:40,,0,not-rated
Neutral Milk Hotel,On Avery Island,April 8th,2:48,1,0,not-rated
The Jesus & Mary Chain,Darklands,April Skies,4:00,1,0,not-rated
Times New Viking,Rip It Off,The Apt.,1:36,6,5,thumbs-up
Courtney Barnett,"Sometimes I Sit And Think, And Sometimes I Just Sit",Aqua Profunda,2:00,1,0,not-rated
Grizzly Bear,Painted Ruins,Aquarian,4:17,1,undefined,never-rated
The Flaming Lips,Embryonic,Aquarius Sabotage,2:11,,0,not-rated
Paws,Your Church on My Bonfire,Arachnids,3:54,1,undefined,never-rated
Sebadoh,Secret EP,Arbitrary High,3:07,,0,not-rated
Pearl Jam,Riot Act,Arc,1:06,,0,not-rated
Greys,Age Hasn't Spoiled You,Arc Light,2:54,6,undefined,never-rated
At The Drive-In,Relationship Of Command,Arcarsenal,2:55,,0,not-rated
Alexandra Savior,The Archer,The Archer,2:25,1,undefined,never-rated
Destroyer,Poison Season,Archer on the Beach,4:56,,undefined,never-rated
Brand New,The Devil And God Are Raging Inside Me,The Archers Bows Have Broken,4:14,,0,not-rated
Alvvays,Alvvays,"Archie, Marry Me",3:16,1,0,not-rated
Jane Weaver,Modern Kosmology,The Architect,4:02,4,undefined,never-rated
Terrible Spaceship,Mechanical Monsters,The Arctic Giant,2:19,,undefined,never-rated
Calvin Johnson,A Wonderful Beast,Are We Ready,2:50,10,undefined,never-rated
"Tyler, The Creator",IGOR,ARE WE STILL FRIENDS?,4:25,1,undefined,never-rated
The Flaming Lips,Yoshimi Battles The Pink Robots,Are You A Hypnotist?,4:44,,0,not-rated
Courtney Barnett,The Double EP: A Sea Of Split Peas,Are You Looking After Yourself,7:41,3,0,not-rated
Retirement Party,Somewhat Literate,Are You My Mother?,3:44,7,undefined,never-rated
Hand Habits,placeholder,are you serious?,3:47,10,undefined,never-rated
Tegan and Sara,The Con,Are You Ten Years Ago,3:17,,0,not-rated
Yeah Yeah Yeahs,Mosquito,Area 52,2:54,1,0,not-rated
Ryan Adams,Heartbreaker,Argument With David Rawlings Concerning Morrissey,0:38,,0,not-rated
Strange Ranger,Remembering the Rockets,Ari Song,3:24,1,undefined,never-rated
Typhoon,Offerings,Ariadne,5:53,1,undefined,never-rated
Kings Of Leon,Because Of The Times,Arizona,4:51,,0,not-rated
Waxahatchee,Saint Cloud,Arkadelphia,4:50,8,undefined,never-rated
Islands,Arm's Way,The Arm,5:39,1,0,not-rated
Clap Your Hands Say Yeah,Some Loud Thunder [Bonus Track],Arm And Hammer,2:01,,0,not-rated
La Roux,La Roux,Armour Love,5:52,,0,not-rated
Boy,Mutual Friends,Army,3:14,,0,not-rated
Ted Leo and The Pharmacists,Living With The Living,Army Bound,3:12,,0,not-rated
Julia Shapiro,Perfect Version,Around The Block,3:27,8,undefined,never-rated
Remo Drive,"Natural, Everyday Degradation",Around the Sun,3:07,2,undefined,never-rated
Jónsi,Go,Around Us,5:19,2,0,not-rated
Surfer Blood,Hourly Haunts EP,Around Your Sun,2:36,2,undefined,never-rated
Camera Obscura,Biggest Bluest Hi-Fi [Bonus Tracks],Arrangements Of Shapes And Space,3:50,1,0,not-rated
Sun Kil Moon,(2003) Ghosts Of The Great Highway (deluxe edition),Arrival (non-lp track),2:28,,0,not-rated
Magnolia Electric Co.,Josephine,An Arrow In The Gale,1:20,1,undefined,never-rated
You Blew It!,Abendrot,Arrowhead,4:38,1,undefined,never-rated
Into It. Over It.,"Polyvinyl 4-Track Singles Series, Vol. 1",Arsenic,2:05,,undefined,never-rated
Superchunk,Here's To Shutting Up,Art Class (Song For Yayoi Kusama),4:14,,0,not-rated
Beach Slang,A Loud Bash Of Teenage Feelings,Art Damage,2:42,,undefined,never-rated
Cursive,The Ugly Organ,Art Is Hard,2:46,,0,not-rated
Deer Tick,War Elephant,Art Isn't Real (City Of Sin),2:48,,0,not-rated
The Pains Of Being Pure At Heart,Days Of Abandon,Art Smock,2:17,1,0,not-rated
Kaitlyn Aurelia Smith,EARS,Arthropoda,3:37,1,undefined,never-rated
Nana Grizol,"""Ruth""",Arthur Hall,2:19,,0,not-rated
Metric,Synthetica,Artificial Nocturne,5:45,,0,not-rated
Lost In The Trees,A Church That Fits Our Needs,An Artist's Song,5:06,,0,not-rated
Horse Feathers,Thistled Spring,As A Ghost,2:57,1,0,not-rated
Do Make Say Think,Stubborn Persistent Illusions,As Far as the Eye Can See,7:51,1,undefined,never-rated
The Decemberists,Her Majesty The Decemberists,As I Rise,2:15,,0,not-rated
Sleigh Bells,Jessica Rabbit,As If,2:43,1,undefined,never-rated
Chris Cohen,As If Apart,As If Apart,3:28,1,undefined,never-rated
La Roux,La Roux,As If By Magic,3:52,,0,not-rated
Bing & Ruth,No Home of the Mind,As Much as Possible,5:40,1,undefined,never-rated
Mates Of State,Our Constant Concern,As Night As Now,2:18,,0,not-rated
Blackalicious,Nia,As The World Turns,5:42,,0,not-rated
Jessica Pratt,Quiet Signs,As The World Turns,3:11,1,undefined,never-rated
Haruomi Hosono,Paraiso,Asatoya Yunta (2019 Remastering),2:16,,undefined,never-rated
Okay Kaya,Watch This Liquid Pour Itself,Ascend and Try Again,2:13,,undefined,never-rated
Flatbush Zombies,3001: A Laced Odyssey,Ascension,5:01,,undefined,never-rated
Pickwick,Lovejoys,Ascension,4:05,,undefined,never-rated
Gorillaz,Humanz (Deluxe),Ascension (feat. Vince Staples),2:35,1,undefined,never-rated
Dirty Projectors,Dirty Projectors,Ascent Through Clouds,6:55,3,undefined,never-rated
Okay Kaya,Watch This Liquid Pour Itself,Asexual Wellbeing,2:56,,undefined,never-rated
Deer Tick,War Elephant,Ashamed,2:13,,0,not-rated
The National,Ciao My Shining Star (Deluxe Edition),Ashamed of the Story I Told,4:04,,0,not-rated
David Bowie,Best Of Bowie,Ashes To Ashes,3:37,,0,not-rated
Jenny Hval,The Practice of Love,Ashes to Ashes,4:15,1,undefined,never-rated
The Dodos,Visiter,Ashley,4:03,2,5,thumbs-up
The Weakerthans,Live At The Burton Cummings Theatre,Aside (Live),3:20,,undefined,never-rated
The Mars Volta,Amputechture,Asilos Magdalena,6:35,,0,not-rated
Sharon Van Etten,Tramp,Ask,3:22,,0,not-rated
The Smiths,Louder Than Bombs,Ask,3:19,4,0,not-rated
The Strokes,First Impressions Of Earth,Ask Me Anything,3:10,,0,not-rated
The Mars Volta,The Bedlam In Goliath,Askepios,5:10,,0,not-rated
Shopping,The Official Body,Asking for a Friend,2:41,12,undefined,never-rated
Heart Attack Man,Fake Blood,Asking for It,2:03,1,undefined,never-rated
Caves,Always Why,Asleep,4:41,7,undefined,never-rated
The Smiths,Louder Than Bombs,Asleep,4:14,11,0,not-rated
The Pains Of Being Pure At Heart,Days Of Abandon,The Asp At My Chest,4:15,,0,not-rated
Yo La Tengo,President Yo La Tengo/New Wave Hot Dogs,The Asparagus Song,4:41,,0,not-rated
Danny Norbury,Light in August,Aspen Trees,4:02,7,undefined,never-rated
Fire On Fire,The Orchard,Assanine Race,6:13,,0,not-rated
Lightning Bolt,Wonderful Rainbow,Assassins,3:43,,0,not-rated
worlds greatest dad,Get Well Soon,Asshole Song,3:09,1,undefined,never-rated
The Fiery Furnaces,Gallowsbird's Bark,Asthma Attack,2:08,,0,not-rated
Thao & The Get Down Stay Down,A Man Alive,Astonished Man,3:29,8,undefined,never-rated
The Nude Party,The Nude Party,Astral Man,5:34,,undefined,never-rated
Van Morrison,Astral Weeks,Astral Weeks,7:07,6,0,not-rated
Fang Island,Major,Asunder,5:12,1,0,not-rated
Cursive,Happy Hollow,At Conception,2:57,,0,not-rated
Alessandro Cortini,Illusion Of Time,At First Sight,3:27,,undefined,never-rated
Neko Case,Fox Confessor Brings The Flood,At Last,1:36,4,0,not-rated
Xiu Xiu,FORGET,"At Last, At Last",3:12,4,undefined,never-rated
fun.,Aim and Ignite,At Least I'm Not As Sad (As I Used To Be),4:07,,0,not-rated
R.E.M.,In Time: The Best Of R.E.M. 1988-2003,At My Most Beautiful,3:35,,0,not-rated
Brand New,Daisy,At The Bottom,4:05,,0,not-rated
Jens Lekman,Oh You're So Silent Jens,At The Dept. Of Forgotten Songs,1:33,8,0,not-rated
Meat Wave,The Incessant,At the Lake,1:15,1,undefined,never-rated
Black Belt Eagle Scout,At the Party With My Brown Friends,At the Party,3:54,1,undefined,never-rated
dummy,bunny,at the party,0:21,,0,not-rated
A Hawk and A Hacksaw,Cervantine,At the Vulturul Negru,4:46,,0,not-rated
The Electronic Anthology Project,If You're Not Gonna Dance Then Piss And Go To Bed,At The Where,4:31,2,0,not-rated
Mr. Gnome,Madness in Miniature,Ate the Sun,3:16,2,0,not-rated
Strange Ranger,Remembering the Rockets,"athens, ga",0:52,1,undefined,never-rated
Ted Leo and The Pharmacists,The Brutalist Bricks,Ativan Eyes,4:23,,0,not-rated
Makaya McCraven,Universal Beings,Atlantic Black,9:10,1,undefined,never-rated
Bars of Gold,Shelters,Atlantic City,3:55,,undefined,never-rated
Rockabye Baby!,Lullaby Renditions of Bruce Springsteen,Atlantic City,2:53,3,undefined,never-rated
M83,Junk,Atlantique Sud (feat. Mai Lan),3:24,2,undefined,never-rated
Starfucker,Miracle Mile,Atlantis,2:29,1,0,not-rated
Battles,Mirrored,Atlas,7:08,,0,not-rated
about tess,Shining,Atom,3:42,3,undefined,never-rated
amiinA,Valkyrie,Atom,4:09,3,undefined,never-rated
British Sea Power,Do You Like Rock Music?,Atom,5:39,,0,not-rated
The Sonder Bombs,MODERN FEMALE ROCKSTAR,Atom,3:26,4,undefined,never-rated
Beach Slang,A Loud Bash Of Teenage Feelings,Atom Bomb,1:59,,undefined,never-rated
Surfer Blood,Hourly Haunts EP,Atom Bomb,3:57,1,undefined,never-rated
Laura Veirs,case/lang/veirs,Atomic Number,2:57,6,undefined,never-rated
The Last Dinosaur,The Nothing,Atoms,2:47,1,undefined,never-rated
Nana Grizol,"""Ruth""",Atoms,2:44,,0,not-rated
Alvvays,Alvvays,Atop a Cake,3:19,,0,not-rated
The Antlers,Hospice,Atrophy,7:41,2,0,not-rated
Yo La Tengo,Electr-O-Pura,Attack On Love,1:52,,0,not-rated
Aesop Rock Feat. Vast Aire,Float,Attention Span,3:51,,0,not-rated
Youth Lagoon,Wondrous Bughouse,Attic Doctor,3:52,2,0,not-rated
The Front Bottoms,Talon Of The Hawk,Au Revoir (Adios),1:48,11,undefined,never-rated
The Brave Little Abacus,just got back from the discomfort—we’re alright,aubade (morning love song),2:14,,0,not-rated
Xiu Xiu,Plays the Music of Twin Peaks,Audrey's Dance,4:26,2,undefined,never-rated
No Vacation,Amo XO,August,3:10,64,undefined,never-rated
Rilo Kiley,Take Offs And Landings,August,3:18,2,undefined,never-rated
Rilo Kiley,Take Offs and Landings,August,3:19,,0,not-rated
Titus Andronicus,The Most Lamentable Tragedy,Auld Lang Syne,1:45,2,undefined,never-rated
The Mountain Goats,Songs for Pierre Chuvin,Aulon Raid,2:13,3,undefined,never-rated
Dávila 666,"Puñales, píldoras y otras formas de entretenerse",Aunque cambies de cara,3:48,,0,not-rated
Cola Jet Set,El Fin Del Mundo,Aunque Sea Mentira,4:19,1,undefined,never-rated
Blackalicious,Blazing Arrow,Aural Pleasure,4:48,,0,not-rated
Rubblebucket,Sun Machine,AURATALK,0:42,7,undefined,never-rated
Breakfast In Fur,Flyaway Garden,Aurora Falls,2:34,,0,not-rated
The Joy Formidable,A Balloon Called Moaning,Austere,3:05,1,0,not-rated
The Joy Formidable,The Big Roar,Austere,3:31,1,0,not-rated
The Shins,Live At Third Man Records,Australia,4:03,,0,not-rated
The Shins,Wincing The Night Away,Australia,3:56,,0,not-rated
Sun Kil Moon,Admiral Fell Promises,Australian Winter,4:40,,0,not-rated
Modest Mouse,Sad Sappy Sucker,Australopithecus,0:30,,0,not-rated
Fat White Family,Champagne Holocaust,Auto Neutron,4:52,1,0,not-rated
Ariel Pink's Haunted Graffiti,Underground,Auto Vanity,1:35,1,undefined,never-rated
The Mountain Goats,Heretic Pride,Autoclave,3:34,1,0,not-rated
The Strokes,Room On Fire,Automatic Stop,3:28,,0,not-rated
Carly Rae Jepsen,Dedicated,Automatically In Love,3:33,1,undefined,never-rated
Blackalicious Feat. Floetry,The Craft,Automatique,4:08,,0,not-rated
The Mountain Goats,All Eternals Deck,The Autopsy Garland,2:51,2,0,not-rated
You Blew It!,Abendrot,Autotheology,2:49,1,undefined,never-rated
Joanna Newsom,Have One On Me,Autumn,8:00,4,0,not-rated
Modest Mouse,"No One's First, And You're Next [EP]",Autumn Beds,3:41,,0,not-rated
KIRARA,moves,Avalanche,6:39,1,undefined,never-rated
Nick Cave and The Bad Seeds,From Her To Eternity,Avalanche,5:10,1,0,not-rated
The New Pornographers,Whiteout Conditions,Avalanche Alley,4:11,1,undefined,never-rated
Cold War Kids,Loyalty To Loyalty,Avalanche In B,3:47,,0,not-rated
Eyvind Kang,Grass,Avalika Svara (Wintercount II),5:25,,0,not-rated
Foxygen,Hang,Avalon,3:46,3,undefined,never-rated
Courtney Barnett,The Double EP: A Sea Of Split Peas,Avant Gardener,5:11,34,0,not-rated
Swans,The Seer,Avatar,8:50,,0,not-rated
Hot Hot Heat,Make Up The Breakdown,Aveda,2:50,1,0,not-rated
Gogol Bordello,Gypsy Punks: Underdog World Strike,Avenue B,3:08,,0,not-rated
Local Teen,"Low Vibrations, Bad Emotions... For Healthy People",Average Vixen,4:12,4,undefined,never-rated
Neutral Milk Hotel,On Avery Island,Avery Island/April 1st,1:49,,0,not-rated
The Apples In Stereo,Electronic Projects for Musicians,Avril En Mai,2:09,,0,not-rated
Mr. Gnome,Madness in Miniature,Awake,0:44,1,0,not-rated
Mumford and Sons,Sigh No More,Awake My Soul,4:16,,0,not-rated
Guards,Modern Hymns,Away,3:22,,undefined,never-rated
Georgia Maq,Pleaser,Away From Love,2:49,4,undefined,never-rated
Camera Obscura,My Maudlin Career,Away With Murder,4:09,,0,not-rated
Arcade Fire,Reflektor,Awful Sound (Oh Eurydice),6:14,8,0,not-rated
FIDLAR,,Awkward,3:05,10,0,not-rated
The Front Bottoms,Rose,Awkward Conversations,2:45,3,undefined,never-rated
Martha,Blisters In The Pit Of My Heart,The Awkward Ones,3:17,3,undefined,never-rated
Jordaan Mason,Earth to Ursa Major,Awl/Leather,5:50,,undefined,never-rated
Deer Tick,More Fuel For The Fire - EP,Axe Is Forever,3:37,,0,not-rated
Thee Oh Sees,A Weird Exits,The Axis,6:11,,undefined,never-rated
Deerhoof,Mountain Moves,Ay That's Me,3:04,2,undefined,never-rated
Cayucas,Bigfoot,Ayawa 'kya,3:29,3,0,not-rated
California X,Nights In The Dark,Ayla's Song,1:34,,0,not-rated
"Now, Now",Saved,AZ,3:35,6,undefined,never-rated
Earl Sweatshirt,Some Rap Songs,Azucar,1:25,5,undefined,never-rated
Dávila 666,"Puñales, píldoras y otras formas de entretenerse",Azul y púrpura,4:18,,0,not-rated
Coping,NOPE,B,3:01,42,0,not-rated
Say Sue Me,Just Joking Around / B Lover,B Lover,2:54,16,undefined,never-rated
Say Sue Me,Where We Were Together,B Lover,2:54,9,undefined,never-rated
Architecture In Helsinki,Moment Bends,B4 3d,4:17,,0,not-rated
Architecture In Helsinki,Moment Bends,B4 3D,4:16,,0,not-rated
The Cure,Disintegration (Deluxe Edition),Babble [(Alt. Version)-Studio Rough (instrumental)-11/88],3:00,1,undefined,never-rated
The Magnetic Fields,The Wayward Bus/Distant Plastic Trees,Babies Falling,3:19,,0,not-rated
Pixx,The Age of Anxiety,Baboo,3:07,,undefined,never-rated
The Mountain Goats,The Coroners Gambit,Baboon,2:17,,0,not-rated
Anna of the North,Lovers,Baby,3:25,,undefined,never-rated
Ariel Pink's Haunted Graffiti,Mature Themes,Baby,4:47,,0,not-rated
Brittany Howard,Jaime,Baby,2:26,4,undefined,never-rated
Oh Rose,While My Father Sleeps,Baby,3:49,2,undefined,never-rated
Tomorrows Tulips,When,Baby,1:13,,0,not-rated
The Sidekicks,Awkward Breeds,"Baby, Baby",3:08,,undefined,never-rated
Feist,Pleasure,Baby Be Simple,6:21,3,undefined,never-rated
Joanna Newsom,Have One On Me,Baby Birch,9:28,5,0,not-rated
Modest Mouse,Building Nothing Out Of Something,Baby Blue Sedan,4:05,,0,not-rated
Laura Stevenson and The Cans,A Record,Baby Bones,2:16,,0,not-rated
Kevin Abstract,ARIZONA BABY,Baby Boy,3:31,2,undefined,never-rated
Iron and Wine,Ghost On Ghost,Baby Center Stage,5:40,2,0,not-rated
The Love Junkies,The Love Junkies (Radio Promo),Baby Come Home,3:38,2,0,not-rated
Tennis,Yours Conditionally,Baby Don't Believe,4:53,,undefined,never-rated
Neutral Milk Hotel,On Avery Island,A Baby For Pree,1:21,,0,not-rated
The Fratellis,Costello Music,Baby Fratelli,3:58,,0,not-rated
Divine Fits,A Thing Called Divine Fits,Baby Get Worse,4:14,,0,not-rated
Miya Folick,Premonitions,Baby Girl,4:03,10,undefined,never-rated
Fascinator,Water Sign,"Baby, Gone",2:58,,undefined,never-rated
The Pipettes,We Are The Pipettes,"Baby, Just Be Yourself",2:58,,0,not-rated
Okay Kaya,Watch This Liquid Pour Itself,Baby Little Tween,2:13,,undefined,never-rated
Slothrust,Show Me How You Want It to Be,Baby One More Time,3:58,44,undefined,never-rated
The Cure,The Head On The Door,Baby Screams,3:44,,0,not-rated
the national,alligator,baby we ll be fine,3:22,,0,not-rated
Throw Me The Statue,Creaturesque,"Baby, You're Bored",2:03,,0,not-rated
Caves,Betterment,Babyccino,2:26,15,undefined,never-rated
Kurt Vile,Smoke Ring For My Halo,Baby's Arms,3:56,,0,not-rated
The Rock*A*Teens,Sixth House,Baby's on to Me,3:27,3,undefined,never-rated
Gulfer,Dog Bless,Babyshoe,3:28,1,undefined,never-rated
Colin Meloy,Colin Meloy Sings Live!,The Bachelor And The Bride,4:11,,0,not-rated
The Decemberists,Her Majesty The Decemberists,The Bachelor And The Bride,4:13,,0,not-rated
Cloud Cult,They Live On The Sun,Back Again P.Ii,5:35,,0,not-rated
PUP,PUP,Back Against The Wall,2:26,5,0,not-rated
Hemlock Ernst,Back At The House,Back At The House,3:28,,undefined,never-rated
Gladie,Everyone Is Talking but You,Back Bench,3:21,1,undefined,never-rated
Tobin Sprout,Moonflower Plastic,Back Chorus,0:44,,undefined,never-rated
A$AP Rocky,AT.LONG.LAST.A$AP,"Back Home (feat. Mos Def, Acyde & Yams)",4:38,1,undefined,never-rated
Brian Eno,Taking Tiger Mountain (By Strategy),Back In Judy's Jungle (2004 Digital Remaster),5:15,2,undefined,never-rated
Tom Waits,Bad As Me,Back In The Crowd,2:49,,0,not-rated
Someone Still Loves You Boris Yeltsin,Tape Club,Back in the Saddle (demo),2:28,1,0,not-rated
Rival Sons,Feral Roots,Back In The Woods,3:32,1,undefined,never-rated
Tegan and Sara,The Con,Back In Your Head,3:01,,0,not-rated
Rat Kid Cool,Year of the Rat,Back to Bed,5:01,25,undefined,never-rated
Parquet Courts,Wide Awake!,Back to Earth,3:54,1,undefined,never-rated
Alkaline Trio,Crimson,Back To Hell,2:54,,0,not-rated
Deerhunter,Monomania,Back To The Middle,2:36,1,0,not-rated
The Smiths,Louder Than Bombs,Back To The Old House,3:07,,0,not-rated
Woods,Bend Beyond,Back to the Stone,2:53,,0,not-rated
Twerps,Range Anxiety,Back to You,2:32,,0,not-rated
Dinosaur Jr,Beyond,Back To Your Heart,4:30,,0,not-rated
The Front Bottoms,Talon Of The Hawk,Backflip,3:45,19,5,thumbs-up
Third Eye Blind,Third Eye Blind,The Background,4:57,1,0,not-rated
Third Eye Blind,Third Eye Blind (20th Anniversary Edition),The Background,4:56,1,undefined,never-rated
Sirs,Sirs,Backscratcher,5:47,,0,not-rated
Oh No Oh My,Oh No! Oh My!,The Backseat,4:35,,0,not-rated
Speedy Ortiz,Twerp Verse,Backslidin',3:00,1,undefined,never-rated
Great Lake Swimmers,Ongiara,Backstage With The Modern Dancers,4:28,,0,not-rated
Bruce Springsteen,Born To Run,Backstreets,6:31,,0,not-rated
The Rare Occasions,Into The Shallows,Backwards,2:56,4,undefined,never-rated
"Wet Nurse, Nina Chaplin, Susana Chaplin & Vanessa Brewster",Wet Nurse EP,Backwards,2:42,,undefined,never-rated
Dinosaur Jr,Ciao My Shining Star (Deluxe Edition),The Backyard,4:12,,0,not-rated
Guster,Keep It Together,Backyard,2:56,,0,not-rated
JEFF The Brotherhood,Zone,Bad,3:25,1,undefined,never-rated
Save Face,Merci,Bad,2:10,1,undefined,never-rated
Beach Slang,We Were Babies & We Were Dirtbags (Quiet Slang),Bad Art & Weirdo Ideas (Quiet Slang),4:05,,undefined,never-rated
Tom Waits,Bad As Me,Bad As Me,3:10,,0,not-rated
Negative Gemini,Bad Baby,Bad Baby,3:44,8,undefined,never-rated
Negative Gemini,Bad Baby,Bad Baby (Club Mix),4:51,,undefined,never-rated
TORRES,Three Futures,Bad Baby Pie,4:39,,undefined,never-rated
Andrew Jackson Jihad,People Who Can Eat People Are The Luckiest People In The World,Bad Bad Things,2:00,,0,not-rated
Charly Bliss,Charly Bliss on Audiotree Live,Bad Box (Audiotree Live Version),3:06,,undefined,never-rated
Sad Planets,"Akron, Ohio",Bad Cells,4:17,,1,thumbs-down
Superchunk,What a Time to Be Alive,Bad Choices,2:53,1,undefined,never-rated
Sufjan Stevens,The Age Of Adz,Bad Communication,2:24,,0,not-rated
R.E.M.,In Time: The Best Of R.E.M. 1988-2003,Bad Day,4:07,,0,not-rated
The Flaming Lips,Clouds Taste Metallic,Bad Days (Aurally Excited Version),4:41,,0,not-rated
Alexandra Savior,The Archer,Bad Disease,3:46,1,undefined,never-rated
Foe,Bad Dream Hotline,Bad Dream Hotline,2:08,,0,not-rated
Wave House,,Bad Girls,2:35,,0,not-rated
Built To Spill,Keep It Like A Secret,Bad Light,3:23,2,0,not-rated
Tom Waits,Small Change,Bad Liver & A Broken Heart,4:49,,0,not-rated
Neko Case,Hell-On,Bad Luck,3:54,9,undefined,never-rated
Otoboke Beaver,ITEKOMA HITS,Bad luck,2:06,,undefined,never-rated
Meat Wave,The Incessant,Bad Man,3:46,2,undefined,never-rated
(Sandy) Alex G,House of Sugar,Bad Man,1:51,12,undefined,never-rated
Jenny Lewis,Acid Tongue,Bad Man's World,3:40,,0,not-rated
Fugazi,13 Songs,Bad Mouth,2:35,,0,not-rated
Leggy,Let Me Know Your Moon,Bad News,2:49,1,undefined,never-rated
Frank Ocean,channel ORANGE,Bad Religion,2:56,,0,not-rated
Jawbreaker,Dear You,"Bad Scene, Everyone's Fault",2:11,,0,not-rated
Cursive,Happy Hollow,Bad Science,2:40,,0,not-rated
Cursive,Happy Hollow,Bad Sects,3:39,,0,not-rated
SPOOK HOUSES,"THE ""TRYING"" LP",Bad Sound,3:07,1,0,not-rated
Missing Persons,Spring Session M.,Bad Streets,3:42,,undefined,never-rated
The Bravery,The Sun And The Moon,Bad Sun,4:02,,0,not-rated
Cults,Cults,Bad Things,3:40,,0,not-rated
Ra Ra Riot,"Polyvinyl 4-Track Singles Series, Vol. 3",Bad Times (Acoustic Version),3:35,1,undefined,never-rated
